Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Art2b	ENSMUST00000063920.2	ADP-ribosyltransferase 2b 	2	1	1	0	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Grem2	ENSMUST00000055294.3	gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis) 	231	1	0	0	1	2	mmu-miR-146a-3p	-0.20	-0.22	< 0.1
Med6	ENSMUST00000161598.2	mediator complex subunit 6 	159	2	1	0	1	1	mmu-miR-146a-3p	-0.20	-0.27	< 0.1
Cirbp	ENSMUST00000105365.3	cold inducible RNA binding protein 	955	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.21	< 0.1
Rbm15b	ENSMUST00000055843.8	RNA binding motif protein 15B 	263	2	0	0	2	2	mmu-miR-146a-3p	-0.20	-0.25	< 0.1
Hnrnpf	ENSMUST00000180341.1	heterogeneous nuclear ribonucleoprotein F 	53	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Pi4ka	ENSMUST00000036161.6	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide 	105	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
4921528I07Rik	ENSMUST00000072612.5	RIKEN cDNA 4921528I07 gene 	5	2	0	0	2	3	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Gpr156	ENSMUST00000061274.7	G protein-coupled receptor 156 	12	2	0	0	2	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Gpr75	ENSMUST00000109430.1	G protein-coupled receptor 75 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Gm10113	ENSMUST00000072437.3	predicted gene 10113 	5	1	1	0	0	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Art4	ENSMUST00000032341.2	ADP-ribosyltransferase 4 	349	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Usp31	ENSMUST00000046929.6	ubiquitin specific peptidase 31 	327	2	0	1	1	0	mmu-miR-146a-3p	-0.20	-0.22	< 0.1
Ccl11	ENSMUST00000000342.2	chemokine (C-C motif) ligand 11 	75	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.22	< 0.1
Txlnb	ENSMUST00000037964.6	taxilin beta 	3218	5	1	2	2	1	mmu-miR-146a-3p	-0.20	-0.33	< 0.1
Extl1	ENSMUST00000030643.2	exostoses (multiple)-like 1 	160	1	1	0	0	2	mmu-miR-146a-3p	-0.20	-0.21	< 0.1
Tirap	ENSMUST00000175765.2	toll-interleukin 1 receptor (TIR) domain-containing adaptor protein 	257	1*	0	0	0	2	mmu-miR-146a-3p	-0.20	-0.21	< 0.1
Dcaf5	ENSMUST00000054145.6	DDB1 and CUL4 associated factor 5 	394	1	1	0	0	1	mmu-miR-146a-3p	-0.20	-0.24	< 0.1
Gm10134	ENSMUST00000074761.4	predicted gene 10134 	0	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Kcns1	ENSMUST00000045196.3	K+ voltage-gated channel, subfamily S, 1 	5	1	1	0	0	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Kcnk6	ENSMUST00000085818.4	potassium inwardly-rectifying channel, subfamily K, member 6 	41	2	1	1	0	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Cd163l1	ENSMUST00000084460.6	CD163 molecule-like 1 	27	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.36	< 0.1
Gspt1	ENSMUST00000167571.2	G1 to S phase transition 1 	10733	2	0	1	1	1	mmu-miR-146a-3p	-0.20	-0.32	< 0.1
Gm3183	ENSMUST00000180076.1	predicted gene 3183 	0	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Gm16513	ENSMUST00000101023.4	predicted gene, Gm16513 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Tmem18	ENSMUST00000057151.8	transmembrane protein 18 	2031	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
ZBED6	ENSMUST00000190574.1	zinc finger BED domain-containing protein 6  	5	2	0	2	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Glis1	ENSMUST00000046005.3	GLIS family zinc finger 1 	7	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Il1f5	ENSMUST00000028360.2	interleukin 1 family, member 5 (delta) 	5	2	0	1	1	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Per2	ENSMUST00000069620.9	period circadian clock 2 	69	1	0	1	0	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Mr1	ENSMUST00000027744.9	major histocompatibility complex, class I-related 	249	1	0	0	1	1	mmu-miR-146a-3p	-0.20	-0.23	< 0.1
Rab14	ENSMUST00000113025.1	RAB14, member RAS oncogene family 	6563	2	0	0	2	2	mmu-miR-146a-3p	-0.20	-0.35	< 0.1
Ppt1	ENSMUST00000030412.5	palmitoyl-protein thioesterase 1 	960	1	0	0	1	2	mmu-miR-146a-3p	-0.20	-0.31	< 0.1
Ppil4	ENSMUST00000015901.5	peptidylprolyl isomerase (cyclophilin)-like 4 	3000	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Them4	ENSMUST00000049822.7	thioesterase superfamily member 4 	266	3	0	1	2	3	mmu-miR-146a-3p	-0.20	-0.32	< 0.1
Slc7a7	ENSMUST00000000984.4	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 	35	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.28	< 0.1
Isoc2a	ENSMUST00000125249.1	isochorismatase domain containing 2a 	2380	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Htatsf1	ENSMUST00000088652.5	HIV TAT specific factor 1 	2496	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Cmtm7	ENSMUST00000035009.9	CKLF-like MARVEL transmembrane domain containing 7 	88	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Pipox	ENSMUST00000017597.4	pipecolic acid oxidase 	473	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Mettl14	ENSMUST00000029759.10	methyltransferase like 14 	99	1	0	0	1	2	mmu-miR-146a-3p	-0.20	-0.22	< 0.1
Rap2c	ENSMUST00000053593.7	RAP2C, member of RAS oncogene family 	1539	1	0	1	0	3	mmu-miR-146a-3p	-0.20	-0.22	< 0.1
Msx3	ENSMUST00000055353.8	msh homeobox 3 	5	1	0	1	0	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Pcsk5	ENSMUST00000050715.8	proprotein convertase subtilisin/kexin type 5 	74	2	0	1	1	1	mmu-miR-146a-3p	-0.20	-0.22	< 0.1
Popdc2	ENSMUST00000023494.7	popeye domain containing 2 	452	1	0	0	1	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Pdpn	ENSMUST00000030317.8	podoplanin 	2737	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Gfral	ENSMUST00000074880.5	GDNF family receptor alpha like 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Vmn2r43	ENSMUST00000066317.4	vomeronasal 2, receptor 43 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Aldh6a1	ENSMUST00000085192.5	aldehyde dehydrogenase family 6, subfamily A1 	1900	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Tvp23a	ENSMUST00000051118.6	trans-golgi network vesicle protein 23A 	7	1	1	0	0	4	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Rassf8	ENSMUST00000111704.2	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8 	568	2	0	1	1	2	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Clns1a	ENSMUST00000026506.4	chloride channel, nucleotide-sensitive, 1A 	1672	3	0	0	3	1	mmu-miR-146a-3p	-0.20	-0.31	< 0.1
Vwa2	ENSMUST00000026068.7	von Willebrand factor A domain containing 2 	142	1	0	0	1	2	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Tgoln1	ENSMUST00000070524.4	trans-golgi network protein 	3978	3	1	1	1	1	mmu-miR-146a-3p	-0.20	-0.32	< 0.1
Zmat2	ENSMUST00000001419.8	zinc finger, matrin type 2 	4295	1	0	0	1	3	mmu-miR-146a-3p	-0.20	-0.32	< 0.1
Slc16a8	ENSMUST00000039752.3	solute carrier family 16 (monocarboxylic acid transporters), member 8 	11	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Slc37a1	ENSMUST00000171233.2	solute carrier family 37 (glycerol-3-phosphate transporter), member 1 	26	2	0	1	1	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Zfp748	ENSMUST00000181892.2	zinc finger protein 748 	278	1	0	0	1	2	mmu-miR-146a-3p	-0.20	-0.24	< 0.1
Zfp444	ENSMUST00000054680.6	zinc finger protein 444 	580	3	0	1	2	0	mmu-miR-146a-3p	-0.20	-0.30	< 0.1
3110062M04Rik	ENSMUST00000055097.5	RIKEN cDNA 3110062M04 gene 	412	3	1	1	1	4	mmu-miR-146a-3p	-0.20	-0.55	< 0.1
5430427O19Rik	ENSMUST00000113976.1	RIKEN cDNA 5430427O19 gene 	38	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Mst1r	ENSMUST00000035203.7	macrophage stimulating 1 receptor (c-met-related tyrosine kinase) 	29	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Chrng	ENSMUST00000027470.8	cholinergic receptor, nicotinic, gamma polypeptide 	5	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Pla2g2f	ENSMUST00000030526.6	phospholipase A2, group IIF 	5	2	1	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Slc18a1	ENSMUST00000037478.7	solute carrier family 18 (vesicular monoamine), member 1 	101	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Pptc7	ENSMUST00000053426.9	PTC7 protein phosphatase homolog (S. cerevisiae) 	2044	3	0	1	2	2	mmu-miR-146a-3p	-0.20	-0.21	< 0.1
Serinc4	ENSMUST00000056312.4	serine incorporator 4 	7	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Cyp2c38	ENSMUST00000035488.2	cytochrome P450, family 2, subfamily c, polypeptide 38 	10	2	0	1	1	0	mmu-miR-146a-3p	-0.20	-0.24	< 0.1
Tox	ENSMUST00000039987.3	thymocyte selection-associated high mobility group box 	51	1	1	0	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
0610030E20Rik	ENSMUST00000077783.3	RIKEN cDNA 0610030E20 gene 	1246	2	1	0	1	1	mmu-miR-146a-3p	-0.20	-0.22	< 0.1
Gm10188	ENSMUST00000086544.4	predicted gene 10188 	5	1	0	1	0	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Dscaml1	ENSMUST00000034592.8	Down syndrome cell adhesion molecule like 1 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Kif5c	ENSMUST00000028102.8	kinesin family member 5C 	115	2	1	0	1	1	mmu-miR-146a-3p	-0.20	-0.20	< 0.1
Psmb8	ENSMUST00000025196.8	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7) 	264	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Bend6	ENSMUST00000129464.2	BEN domain containing 6 	16	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Tnfsf10	ENSMUST00000046383.6	tumor necrosis factor (ligand) superfamily, member 10 	450	2	0	1	1	2	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Pde4b	ENSMUST00000106908.3	phosphodiesterase 4B, cAMP specific 	2029	2	0	0	2	0	mmu-miR-146a-3p	-0.19	-0.31	< 0.1
Dnajc28	ENSMUST00000169982.1	DnaJ (Hsp40) homolog, subfamily C, member 28 	448	1	1	0	0	0	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
3110035E14Rik	ENSMUST00000088666.3	RIKEN cDNA 3110035E14 gene 	9	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Aoc1	ENSMUST00000031835.8	amine oxidase, copper-containing 1 	58	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Tchh	ENSMUST00000064257.5	trichohyalin 	338	1	1	0	0	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Tifa	ENSMUST00000054483.8	TRAF-interacting protein with forkhead-associated domain 	252	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
F13a1	ENSMUST00000164727.2	coagulation factor XIII, A1 subunit 	339	2	1	0	1	0	mmu-miR-146a-3p	-0.19	-0.28	< 0.1
Rab18	ENSMUST00000097680.5	RAB18, member RAS oncogene family 	7107	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Nfatc4	ENSMUST00000172271.2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4 	406	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Cxcl12	ENSMUST00000112866.2	chemokine (C-X-C motif) ligand 12 	7869	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
5330417H12Rik	ENSMUST00000060348.2	RIKEN cDNA 5330417H12 gene 	5	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Gm5148	ENSMUST00000079755.4	predicted gene 5148 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Ms4a2	ENSMUST00000186978.1	membrane-spanning 4-domains, subfamily A, member 2 	6	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.22	< 0.1
Gins1	ENSMUST00000028948.4	GINS complex subunit 1 (Psf1 homolog) 	804	2	0	0	2	2	mmu-miR-146a-3p	-0.19	-0.32	< 0.1
Thap2	ENSMUST00000020346.4	THAP domain containing, apoptosis associated protein 2 	411	2	0	0	2	0	mmu-miR-146a-3p	-0.19	-0.28	< 0.1
Tmx4	ENSMUST00000038228.5	thioredoxin-related transmembrane protein 4 	513	3	0	1	2	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Hoxb4	ENSMUST00000049241.8	homeobox B4 	163	1	0	1	0	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Syt4	ENSMUST00000025110.3	synaptotagmin IV 	20	1	0	0	1	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Nrip3	ENSMUST00000041460.7	nuclear receptor interacting protein 3 	7	1	0	0	1	3	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Sh3kbp1	ENSMUST00000112456.3	SH3-domain kinase binding protein 1 	256	5	0	2	3	1	mmu-miR-146a-3p	-0.19	-0.47	< 0.1
Lime1	ENSMUST00000108804.2	Lck interacting transmembrane adaptor 1 	1038	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Slc19a3	ENSMUST00000045560.9	solute carrier family 19, member 3 	8	2	0	1	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Trpm2	ENSMUST00000105401.3	transient receptor potential cation channel, subfamily M, member 2 	40	1	0	0	1	2	mmu-miR-146a-3p	-0.19	-0.26	< 0.1
Prrg3	ENSMUST00000048790.6	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) 	304	3	1	2	0	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Eif1ad	ENSMUST00000025759.7	eukaryotic translation initiation factor 1A domain containing 	2231	2	1	1	0	0	mmu-miR-146a-3p	-0.19	-0.34	< 0.1
Samd7	ENSMUST00000108262.4	sterile alpha motif domain containing 7 	5	2	1	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Fat4	ENSMUST00000061260.7	FAT tumor suppressor homolog 4 (Drosophila) 	31	2	0	2	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Sh3gl2	ENSMUST00000030212.9	SH3-domain GRB2-like 2 	63	2	0	1	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Cyp3a57	ENSMUST00000079268.7	cytochrome P450, family 3, subfamily a, polypeptide 57 	3	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Pxylp1	ENSMUST00000112951.3	2-phosphoxylose phosphatase 1 	22	3	1	1	1	1	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
H60c	ENSMUST00000170893.2	histocompatibility 60c 	5	1	0	0	1	2	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Mup4	ENSMUST00000075973.2	major urinary protein 4 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Tldc1	ENSMUST00000049156.5	TBC/LysM associated domain containing 1 	97	1	1	0	0	1	mmu-miR-146a-3p	-0.19	-0.32	< 0.1
Irs4	ENSMUST00000067841.7	insulin receptor substrate 4 	5	2	1	0	1	2	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Asah1	ENSMUST00000034000.9	N-acylsphingosine amidohydrolase 1 	14370	1	0	1	0	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Plekha3	ENSMUST00000111920.1	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3 	704	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Imp4	ENSMUST00000027303.8	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast) 	1581	1	0	0	1	1	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Ddx55	ENSMUST00000071057.8	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 	218	1	0	0	1	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Clcnka	ENSMUST00000105790.2	chloride channel Ka 	19	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
4930562F07Rik	ENSMUST00000028061.3	RIKEN cDNA 4930562F07 gene 	6	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Chrnb3	ENSMUST00000079463.5	cholinergic receptor, nicotinic, beta polypeptide 3 	5	2	2	0	0	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
RP23-230O9.7	ENSMUST00000191407.1		7	1	0	0	1	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Syt16	ENSMUST00000110451.2	synaptotagmin XVI 	7	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Gm2174	ENSMUST00000079663.6	predicted gene 2174 	12	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Gm10030	ENSMUST00000080872.4	predicted gene 10030 	13	2	0	1	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Mtor	ENSMUST00000103221.4	mechanistic target of rapamycin (serine/threonine kinase) 	2633	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Dhx32	ENSMUST00000033290.6	DEAH (Asp-Glu-Ala-His) box polypeptide 32 	1376	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Rab2b	ENSMUST00000022765.8	RAB2B, member RAS oncogene family 	99	1	0	1	0	2	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Fam173b	ENSMUST00000042702.6	family with sequence similarity 173, member B 	258	4	1	2	1	1	mmu-miR-146a-3p	-0.19	-0.37	< 0.1
Cenpn	ENSMUST00000034205.4	centromere protein N 	746	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Gm6483	ENSMUST00000127799.1	predicted gene 6483 	7	2	0	1	1	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Cdc7	ENSMUST00000031221.6	cell division cycle 7 (S. cerevisiae) 	943	1	0	0	1	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Pax5	ENSMUST00000107825.3	paired box 5 	5	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Slc16a7	ENSMUST00000063318.3	solute carrier family 16 (monocarboxylic acid transporters), member 7 	330	2	0	1	1	3	mmu-miR-146a-3p	-0.19	-0.41	< 0.1
Bid	ENSMUST00000004560.6	BH3 interacting domain death agonist 	594	1	0	0	1	1	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Macf1	ENSMUST00000097897.5	microtubule-actin crosslinking factor 1 	2058	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Zfp764	ENSMUST00000059199.6	zinc finger protein 764 	10	2	0	0	2	1	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
A730061H03Rik	ENSMUST00000066106.3	RIKEN cDNA A730061H03 gene 	5	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Plcb1	ENSMUST00000110116.2	phospholipase C, beta 1 	265	2	0	0	2	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Naa30	ENSMUST00000037362.5	N(alpha)-acetyltransferase 30, NatC catalytic subunit 	980	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
AW551984	ENSMUST00000119722.2	expressed sequence AW551984 	31	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.22	< 0.1
Ywhab	ENSMUST00000018470.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide 	7878	1	0	1	0	2	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Atpif1	ENSMUST00000152993.2	ATPase inhibitory factor 1 	2325	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Gltpd1	ENSMUST00000105586.1	glycolipid transfer protein domain containing 1 	1033	1	0	1	0	1	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Cdk8	ENSMUST00000031640.9	cyclin-dependent kinase 8 	24	1	0	0	1	1	mmu-miR-146a-3p	-0.19	-0.23	< 0.1
Entpd2	ENSMUST00000028328.2	ectonucleoside triphosphate diphosphohydrolase 2 	158	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Cd200	ENSMUST00000163230.2	CD200 antigen 	661	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Lce1l	ENSMUST00000054426.4	late cornified envelope 1L 	5	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Unc79	ENSMUST00000101099.6	unc-79 homolog (C. elegans) 	15	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Krt20	ENSMUST00000017743.2	keratin 20 	10	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Tsc22d2	ENSMUST00000099090.2	TSC22 domain family, member 2 	922	4	2	1	1	0	mmu-miR-146a-3p	-0.19	-0.35	< 0.1
Rnf11	ENSMUST00000030284.4	ring finger protein 11 	10289	2	0	2	0	0	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Tead4	ENSMUST00000130454.2	TEA domain family member 4 	163	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.21	< 0.1
Nostrin	ENSMUST00000041865.7	nitric oxide synthase trafficker 	221	1	0	1	0	0	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Ccdc8	ENSMUST00000094805.4	coiled-coil domain containing 8 	183	1	0	0	1	2	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Zfp72	ENSMUST00000091481.2	zinc finger protein 72 	209	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Zfp442	ENSMUST00000109916.2	zinc finger protein 442 	135	3	1	2	0	2	mmu-miR-146a-3p	-0.19	-0.26	< 0.1
Mafk	ENSMUST00000018287.4	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian) 	819	1	0	0	1	2	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Rab6a	ENSMUST00000107048.2	RAB6A, member RAS oncogene family 	1165	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.20	< 0.1
Chek2	ENSMUST00000066160.1	checkpoint kinase 2 	62	1	0	0	1	0	mmu-miR-146a-3p	-0.19	-0.23	< 0.1
Nr3c1	ENSMUST00000115567.2	nuclear receptor subfamily 3, group C, member 1 	3767	1	0	0	1	3	mmu-miR-146a-3p	-0.19	-0.19	< 0.1
Wbp2nl	ENSMUST00000023089.3	WBP2 N-terminal like 	9	1	0	0	1	1	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Athl1	ENSMUST00000079403.5	ATH1, acid trehalase-like 1 (yeast) 	1877	1	0	0	1	2	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Ndst3	ENSMUST00000154668.2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 	5	2	0	0	2	1	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Kbtbd13	ENSMUST00000068307.3	kelch repeat and BTB (POZ) domain containing 13 	103	1	0	0	1	0	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Edil3	ENSMUST00000081769.7	EGF-like repeats and discoidin I-like domains 3 	367	2	0	1	1	2	mmu-miR-146a-3p	-0.18	-0.19	< 0.1
Prkaa2	ENSMUST00000030243.7	protein kinase, AMP-activated, alpha 2 catalytic subunit 	2924	2	0	1	1	4	mmu-miR-146a-3p	-0.18	-0.20	< 0.1
Zmynd19	ENSMUST00000028350.3	zinc finger, MYND domain containing 19 	740	1	0	0	1	2	mmu-miR-146a-3p	-0.18	-0.25	< 0.1
Setd8	ENSMUST00000059580.5	SET domain containing (lysine methyltransferase) 8 	582	1	0	1	0	0	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Kansl1l	ENSMUST00000068168.4	KAT8 regulatory NSL complex subunit 1-like 	241	1	0	0	1	0	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Snx24	ENSMUST00000165032.2	sorting nexing 24 	240	1	0	1	0	1	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Bpifa5	ENSMUST00000028986.2	BPI fold containing family A, member 5 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
RP23-113N18.1	ENSMUST00000186652.1		5	1	0	1	0	0	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Sfrp4	ENSMUST00000002883.5	secreted frizzled-related protein 4 	51	1	0	1	0	0	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Enpp5	ENSMUST00000154166.2	ectonucleotide pyrophosphatase/phosphodiesterase 5 	86	1	0	0	1	1	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Zfp11	ENSMUST00000049778.6	zinc finger protein 11 	123	2	0	0	2	2	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Srek1ip1	ENSMUST00000022230.9	splicing regulatory glutamine/lysine-rich protein 1interacting protein 1 	669	2	0	0	2	2	mmu-miR-146a-3p	-0.18	-0.24	< 0.1
Rbfox3	ENSMUST00000017576.5	RNA binding protein, fox-1 homolog (C. elegans) 3 	14	1	1	0	0	1	mmu-miR-146a-3p	-0.18	-0.18	< 0.1
Msn	ENSMUST00000117399.1	moesin 	7837	3	2	0	1	1	mmu-miR-146a-3p	-0.18	-0.48	< 0.1
Ppp1r12a	ENSMUST00000070663.5	protein phosphatase 1, regulatory (inhibitor) subunit 12A 	5068	3	0	2	1	1	mmu-miR-146a-3p	-0.18	-0.22	< 0.1
