Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
S100b	ENSMUST00000036387.7	S100 protein, beta polypeptide, neural 	27	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Dnah9	ENSMUST00000080665.4	dynein, axonemal, heavy chain 9 	12	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Fam199x	ENSMUST00000047852.7	family with sequence similarity 199, X-linked 	16	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Reep6	ENSMUST00000105354.2	receptor accessory protein 6 	3207	1	0	1	0	1	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Skil	ENSMUST00000118470.2	SKI-like 	1628	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.14	< 0.1
St3gal2	ENSMUST00000034197.4	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 	637	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Ahcyl1	ENSMUST00000029490.9	S-adenosylhomocysteine hydrolase-like 1 	2587	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.13	< 0.1
Homer1	ENSMUST00000079086.6	homer homolog 1 (Drosophila) 	959	1	0	0	1	1	mmu-miR-146b-3p	-0.12	-0.17	< 0.1
Jrk	ENSMUST00000050234.3	jerky 	28	1	0	0	1	1	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Gm14419	ENSMUST00000126358.2	predicted gene 14419 	0	2	0	2	0	1	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Tchp	ENSMUST00000094441.5	trichoplein, keratin filament binding 	332	2	0	1	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Zfp213	ENSMUST00000095606.3	zinc finger protein 213 	13	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Tmem74	ENSMUST00000067469.4	transmembrane protein 74 	21	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.16	< 0.1
Lrrc55	ENSMUST00000111601.1	leucine rich repeat containing 55 	6	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Rxra	ENSMUST00000077257.6	retinoid X receptor alpha 	3750	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Inpp5k	ENSMUST00000006286.3	inositol polyphosphate 5-phosphatase K 	634	1	0	1	0	2	mmu-miR-146b-3p	-0.12	-0.14	< 0.1
Drd1a	ENSMUST00000021932.5	dopamine receptor D1A 	9	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Palm	ENSMUST00000046945.7	paralemmin 	17	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Dgkd	ENSMUST00000027517.8	diacylglycerol kinase, delta 	2455	1	1	0	0	1	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Tmem215	ENSMUST00000049655.2	transmembrane protein 215 	10	1	0	0	1	1	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Apbb1	ENSMUST00000191011.1	amyloid beta (A4) precursor protein-binding, family B, member 1 	167	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Srl	ENSMUST00000090500.4	sarcalumenin 	29029	1	0	0	1	3	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Sash1	ENSMUST00000015449.5	SAM and SH3 domain containing 1 	92	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.14	< 0.1
AW011738	ENSMUST00000105140.2	expressed sequence AW011738 	111	1	1	0	0	1	mmu-miR-146b-3p	-0.12	-0.16	< 0.1
Large	ENSMUST00000119826.2	like-glycosyltransferase 	173	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Relt	ENSMUST00000008462.4	RELT tumor necrosis factor receptor 	46	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Gas7	ENSMUST00000108682.3	growth arrest specific 7 	469	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Phactr2	ENSMUST00000105545.5	phosphatase and actin regulator 2 	1395	1	1	0	0	0	mmu-miR-146b-3p	-0.12	-0.17	< 0.1
Gab3	ENSMUST00000037374.5	growth factor receptor bound protein 2-associated protein 3 	36	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.14	< 0.1
Adcyap1r1	ENSMUST00000070756.6	adenylate cyclase activating polypeptide 1 receptor 1 	174	3	1	1	1	1	mmu-miR-146b-3p	-0.12	-0.14	< 0.1
Aes	ENSMUST00000002518.8	amino-terminal enhancer of split 	7865	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
A230046K03Rik	ENSMUST00000038388.5	RIKEN cDNA A230046K03 gene 	645	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Klhl15	ENSMUST00000113915.1	kelch-like 15 	59	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.13	< 0.1
Sema3f	ENSMUST00000080560.3	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F 	1077	1	1	0	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Scmh1	ENSMUST00000000087.7	sex comb on midleg homolog 1 	359	1	0	1	0	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Ntn3	ENSMUST00000024931.4	netrin 3 	66	1	0	1	0	3	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Col28a1	ENSMUST00000115537.1	collagen, type XXVIII, alpha 1 	11	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Astl	ENSMUST00000059839.3	astacin-like metalloendopeptidase (M12 family) 	5	1	0	1	0	1	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Syk	ENSMUST00000120135.2	spleen tyrosine kinase 	193	1	0	0	1	0	mmu-miR-146b-3p	-0.12	-0.12	< 0.1
Ralgps1	ENSMUST00000042615.7	Ral GEF with PH domain and SH3 binding motif 1 	213	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Taok2	ENSMUST00000071268.5	TAO kinase 2 	538	2	0	2	0	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Rab6b	ENSMUST00000035155.7	RAB6B, member RAS oncogene family 	192	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
AF529169	ENSMUST00000044491.7	cDNA sequence AF529169 	11	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.14	< 0.1
9330159N05Rik	ENSMUST00000180541.1	RIKEN cDNA 9330159N05 gene 	7	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.16	< 0.1
Ptger1	ENSMUST00000019608.5	prostaglandin E receptor 1 (subtype EP1) 	48	2	0	1	1	2	mmu-miR-146b-3p	-0.11	-0.17	< 0.1
Coq5	ENSMUST00000040421.5	coenzyme Q5 homolog, methyltransferase (yeast) 	675	1	0	0	1	2	mmu-miR-146b-3p	-0.11	-0.23	< 0.1
Ctnna3	ENSMUST00000105440.2	catenin (cadherin associated protein), alpha 3 	168	2	0	0	2	0	mmu-miR-146b-3p	-0.11	-0.24	< 0.1
Unc119b	ENSMUST00000060798.5	unc-119 homolog B (C. elegans) 	75	1	1	0	0	1	mmu-miR-146b-3p	-0.11	-0.23	< 0.1
Fndc1	ENSMUST00000097425.4	fibronectin type III domain containing 1 	245	1	0	0	1	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Ccdc151	ENSMUST00000115336.3	coiled-coil domain containing 151 	22	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Ogfod2	ENSMUST00000119269.1	2-oxoglutarate and iron-dependent oxygenase domain containing 2 	517	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.39	< 0.1
A730020M07Rik	ENSMUST00000050571.4	RIKEN cDNA A730020M07 gene 	22	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.16	< 0.1
Mecp2	ENSMUST00000100750.4	methyl CpG binding protein 2 	845	4	0	1	3	2	mmu-miR-146b-3p	-0.11	-0.17	< 0.1
Dcaf17	ENSMUST00000154704.2	DDB1 and CUL4 associated factor 17 	208	1	0	0	1	1	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Nuak1	ENSMUST00000020220.9	NUAK family, SNF1-like kinase, 1 	833	1	0	0	1	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Olig2	ENSMUST00000035608.8	oligodendrocyte transcription factor 2 	20	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Nap1l4	ENSMUST00000072727.5	nucleosome assembly protein 1-like 4 	16286	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Tmprss11b	ENSMUST00000038448.6	transmembrane protease, serine 11B 	5	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Ldlrad3	ENSMUST00000058790.6	low density lipoprotein receptor class A domain containing 3 	313	1	0	0	1	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Mapkapk2	ENSMUST00000016672.5	MAP kinase-activated protein kinase 2 	503	3	0	1	2	2	mmu-miR-146b-3p	-0.11	-0.25	< 0.1
Extl3	ENSMUST00000022550.7	exostoses (multiple)-like 3 	167	1	0	1	0	1	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Ccdc170	ENSMUST00000138112.2	coiled-coil domain containing 170 	406	2	0	2	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Gorasp1	ENSMUST00000035099.7	golgi reassembly stacking protein 1 	120	1	0	0	1	1	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Hpcal4	ENSMUST00000059667.3	hippocalcin-like 4 	5	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Paqr9	ENSMUST00000079597.6	progestin and adipoQ receptor family member IX 	1329	1	0	0	1	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Abcb10	ENSMUST00000075578.6	ATP-binding cassette, sub-family B (MDR/TAP), member 10 	75	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Cln8	ENSMUST00000027554.7	ceroid-lipofuscinosis, neuronal 8 	1407	2	0	1	1	2	mmu-miR-146b-3p	-0.11	-0.28	< 0.1
Zfp207	ENSMUST00000188489.1	zinc finger protein 207 	336	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.13	< 0.1
2510049J12Rik	ENSMUST00000112957.1	RIKEN cDNA 2510049J12 gene 	86	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.15	< 0.1
Dync1li2	ENSMUST00000041769.6	dynein, cytoplasmic 1 light intermediate chain 2 	2440	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Zfp65	ENSMUST00000127979.2	zinc finger protein 65 	45	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Cyb561	ENSMUST00000184086.2	cytochrome b-561 	101	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
BC030499	ENSMUST00000046361.4	cDNA sequence BC030499 	14	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Eme1	ENSMUST00000039949.4	essential meiotic endonuclease 1 homolog 1 (S. pombe) 	176	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
4931440P22Rik	ENSMUST00000099076.3	RIKEN cDNA 4931440P22 gene 	39	1	0	0	1	2	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Thap2	ENSMUST00000020346.4	THAP domain containing, apoptosis associated protein 2 	411	1	0	1	0	1	mmu-miR-146b-3p	-0.11	-0.15	< 0.1
Mtrf1l	ENSMUST00000019908.8	mitochondrial translational release factor 1-like 	84	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.14	< 0.1
Krt80	ENSMUST00000077196.4	keratin 80 	1539	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Kbtbd7	ENSMUST00000061222.7	kelch repeat and BTB (POZ) domain containing 7 	339	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Gda	ENSMUST00000087600.4	guanine deaminase 	142	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.22	< 0.1
Nkd2	ENSMUST00000022051.8	naked cuticle 2 homolog (Drosophila) 	142	1	0	1	0	1	mmu-miR-146b-3p	-0.11	-0.16	< 0.1
P2rx5	ENSMUST00000006104.4	purinergic receptor P2X, ligand-gated ion channel, 5 	126	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Sirt1	ENSMUST00000120239.2	sirtuin 1 	909	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.12	< 0.1
Zfp865	ENSMUST00000076251.4	zinc finger protein 865 	44	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Ocrl	ENSMUST00000001202.9	oculocerebrorenal syndrome of Lowe 	388	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
4632428N05Rik	ENSMUST00000020301.8	RIKEN cDNA 4632428N05 gene 	1274	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.15	< 0.1
Gpd2	ENSMUST00000169687.2	glycerol phosphate dehydrogenase 2, mitochondrial 	6529	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Trim36	ENSMUST00000167364.2	tripartite motif-containing 36 	18	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.14	< 0.1
Iqce	ENSMUST00000041783.8	IQ motif containing E 	148	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Foxb1	ENSMUST00000071281.4	forkhead box B1 	5	1	0	1	0	2	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Gm4767	ENSMUST00000188096.1	predicted gene 4767 	5	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Tenm2	ENSMUST00000102801.2	teneurin transmembrane protein 2 	17	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Tmem255a	ENSMUST00000089054.5	transmembrane protein 255A 	9	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Aloxe3	ENSMUST00000021268.3	arachidonate lipoxygenase 3 	13	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Gm10778	ENSMUST00000189672.1	predicted gene 10778 	5	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Tmem150c	ENSMUST00000063192.9	transmembrane protein 150C 	16	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Sept6	ENSMUST00000053456.5	septin 6 	1556	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Pcdhb18	ENSMUST00000055949.2	protocadherin beta 18 	10	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.16	< 0.1
Adck1	ENSMUST00000101165.3	aarF domain containing kinase 1 	475	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Nek10	ENSMUST00000112630.3	NIMA (never in mitosis gene a)- related kinase 10 	5	2	0	1	1	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Specc1l	ENSMUST00000105421.3	sperm antigen with calponin homology and coiled-coil domains 1-like 	2753	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Tbc1d16	ENSMUST00000036113.3	TBC1 domain family, member 16 	741	1	1	0	0	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Gal3st1	ENSMUST00000078757.2	galactose-3-O-sulfotransferase 1 	223	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Lipa	ENSMUST00000049572.9	lysosomal acid lipase A 	560	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.13	< 0.1
Atg9a	ENSMUST00000189702.1	autophagy related 9A 	222	1	0	1	0	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Rasgef1a	ENSMUST00000164960.1	RasGEF domain family, member 1A 	899	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Lrrcc1	ENSMUST00000169079.2	leucine rich repeat and coiled-coil domain containing 1 	429	1	1	0	0	1	mmu-miR-146b-3p	-0.11	-0.33	< 0.1
Snx8	ENSMUST00000031539.7	sorting nexin 8 	131	2	0	2	0	1	mmu-miR-146b-3p	-0.11	-0.16	< 0.1
Gm9978	ENSMUST00000069431.4	predicted gene 9978 	5	1	0	0	1	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Mllt6	ENSMUST00000044730.6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 	113	2	0	2	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Btnl2	ENSMUST00000025198.8	butyrophilin-like 2 	10	1	0	0	1	1	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Megf10	ENSMUST00000075770.7	multiple EGF-like-domains 10 	10	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.11	< 0.1
Pcdh7	ENSMUST00000094783.4	protocadherin 7 	199	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.14	< 0.1
Hps3	ENSMUST00000012580.7	Hermansky-Pudlak syndrome 3 homolog (human) 	99	1	0	1	0	0	mmu-miR-146b-3p	-0.11	-0.18	< 0.1
Gpr182	ENSMUST00000079692.5	G protein-coupled receptor 182 	197	1	1	0	0	0	mmu-miR-146b-3p	-0.11	-0.16	< 0.1
Hpn	ENSMUST00000039435.9	hepsin 	2148	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Rasgrf2	ENSMUST00000099326.4	RAS protein-specific guanine nucleotide-releasing factor 2 	405	2	0	0	2	0	mmu-miR-146b-3p	-0.10	-0.12	< 0.1
Usp2	ENSMUST00000034508.8	ubiquitin specific peptidase 2 	997	2	0	0	2	0	mmu-miR-146b-3p	-0.10	-0.11	< 0.1
Pabpc6	ENSMUST00000057190.2	poly(A) binding protein, cytoplasmic 6 	5	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Asb17	ENSMUST00000044089.3	ankyrin repeat and SOCS box-containing 17 	5	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Kdm3b	ENSMUST00000043775.7	KDM3B lysine (K)-specific demethylase 3B 	1192	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Kcna2	ENSMUST00000038695.1	potassium voltage-gated channel, shaker-related subfamily, member 2 	106	1	0	1	0	1	mmu-miR-146b-3p	-0.10	-0.11	< 0.1
Zfx	ENSMUST00000088102.6	zinc finger protein X-linked 	631	2	0	1	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Grik4	ENSMUST00000114865.2	glutamate receptor, ionotropic, kainate 4 	6	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.12	< 0.1
Neu3	ENSMUST00000036331.6	neuraminidase 3 	39	1	0	0	1	1	mmu-miR-146b-3p	-0.10	-0.15	< 0.1
Fads6	ENSMUST00000056153.7	fatty acid desaturase domain family, member 6 	163	3	0	1	2	1	mmu-miR-146b-3p	-0.10	-0.16	< 0.1
Tns1	ENSMUST00000169786.2	tensin 1 	19691	5	2	2	1	2	mmu-miR-146b-3p	-0.10	-0.11	< 0.1
Mlec	ENSMUST00000112121.2	malectin 	5938	3	0	2	1	0	mmu-miR-146b-3p	-0.10	-0.13	< 0.1
Tmprss2	ENSMUST00000000395.6	transmembrane protease, serine 2 	106	1	1	0	0	0	mmu-miR-146b-3p	-0.10	-0.30	< 0.1
Clic5	ENSMUST00000024755.5	chloride intracellular channel 5 	977	1	0	0	1	1	mmu-miR-146b-3p	-0.10	-0.11	< 0.1
Mocs1	ENSMUST00000024797.10	molybdenum cofactor synthesis 1 	2100	1	0	1	0	1	mmu-miR-146b-3p	-0.10	-0.13	< 0.1
Gm5819	ENSMUST00000171469.1	predicted gene 5819 	8	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Ccdc157	ENSMUST00000093381.5	coiled-coil domain containing 157 	49	1	1	0	0	0	mmu-miR-146b-3p	-0.10	-0.14	< 0.1
Tmem51	ENSMUST00000036572.3	transmembrane protein 51 	97	2	0	1	1	0	mmu-miR-146b-3p	-0.10	-0.19	< 0.1
Prok1	ENSMUST00000049852.8	prokineticin 1 	178	1	0	1	0	1	mmu-miR-146b-3p	-0.10	-0.12	< 0.1
Mmp25	ENSMUST00000024696.7	matrix metallopeptidase 25 	31	1	0	1	0	1	mmu-miR-146b-3p	-0.10	-0.15	< 0.1
1110025L11Rik	ENSMUST00000089104.2	RIKEN cDNA 1110025L11 gene 	8	1	1	0	0	2	mmu-miR-146b-3p	-0.10	-0.30	< 0.1
Tusc2	ENSMUST00000010198.3	tumor suppressor candidate 2 	30	2	1	1	0	1	mmu-miR-146b-3p	-0.10	-0.43	< 0.1
Fbxl7	ENSMUST00000059204.9	F-box and leucine-rich repeat protein 7 	25	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Pdzd7	ENSMUST00000145391.2	PDZ domain containing 7 	17	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Otp	ENSMUST00000022195.11	orthopedia homolog (Drosophila) 	6	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Fbxl2	ENSMUST00000035090.8	F-box and leucine-rich repeat protein 2 	95	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.12	< 0.1
Tgfbr1	ENSMUST00000007757.9	transforming growth factor, beta receptor I 	1724	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Clip2	ENSMUST00000100647.3	CAP-GLY domain containing linker protein 2 	406	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Gm10615	ENSMUST00000098355.3	predicted gene 10615 	10	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Gm5878	ENSMUST00000113802.3	predicted gene 5878 	5	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Sft2d3	ENSMUST00000054984.6	SFT2 domain containing 3 	285	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Clec2i	ENSMUST00000159866.2	C-type lectin domain family 2, member i 	46	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Mov10	ENSMUST00000002297.6	Moloney leukemia virus 10 	49	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Fam160a2	ENSMUST00000179474.2	family with sequence similarity 160, member A2 	112	1	0	1	0	3	mmu-miR-146b-3p	-0.10	-0.17	< 0.1
Rabep1	ENSMUST00000100928.5	rabaptin, RAB GTPase binding effector protein 1 	2666	1	0	1	0	1	mmu-miR-146b-3p	-0.10	-0.13	< 0.1
Ildr2	ENSMUST00000111416.1	immunoglobulin-like domain containing receptor 2 	474	1	1	0	0	2	mmu-miR-146b-3p	-0.10	-0.11	< 0.1
Cdo1	ENSMUST00000035804.7	cysteine dioxygenase 1, cytosolic 	4223	1	0	0	1	1	mmu-miR-146b-3p	-0.10	-0.20	< 0.1
Yipf6	ENSMUST00000054697.5	Yip1 domain family, member 6 	1377	1	0	0	1	1	mmu-miR-146b-3p	-0.10	-0.11	< 0.1
Prelp	ENSMUST00000048432.5	proline arginine-rich end leucine-rich repeat 	5811	2	0	1	1	0	mmu-miR-146b-3p	-0.10	-0.11	< 0.1
D930048N14Rik	ENSMUST00000117859.2	RIKEN cDNA D930048N14 gene 	236	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Ntn1	ENSMUST00000108674.3	netrin 1 	1321	4	2	2	0	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Zfp710	ENSMUST00000166250.2	zinc finger protein 710 	107	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Prmt5	ENSMUST00000023873.6	protein arginine N-methyltransferase 5 	962	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Slurp1	ENSMUST00000190433.1	secreted Ly6/Plaur domain containing 1 	11	2	0	2	0	1	mmu-miR-146b-3p	-0.10	-0.24	< 0.1
Mest	ENSMUST00000163949.3	mesoderm specific transcript 	769	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.13	< 0.1
Slc35b2	ENSMUST00000041353.6	solute carrier family 35, member B2 	1048	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Iqsec1	ENSMUST00000101151.4	IQ motif and Sec7 domain 1 	1850	2	0	0	2	0	mmu-miR-146b-3p	-0.10	-0.21	< 0.1
Fkbp5	ENSMUST00000079413.4	FK506 binding protein 5 	117	1	0	1	0	1	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Cers3	ENSMUST00000066475.9	ceramide synthase 3 	13	1	0	0	1	1	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Cited4	ENSMUST00000094814.5	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4 	148	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Kcnmb1	ENSMUST00000020362.2	potassium large conductance calcium-activated channel, subfamily M, beta member 1 	26	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.14	< 0.1
Dcun1d3	ENSMUST00000059851.7	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae) 	469	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.17	< 0.1
Htr6	ENSMUST00000105802.2	5-hydroxytryptamine (serotonin) receptor 6 	9	2	0	2	0	0	mmu-miR-146b-3p	-0.10	-0.23	< 0.1
Zfp329	ENSMUST00000108546.1	zinc finger protein 329 	292	2	2	0	0	0	mmu-miR-146b-3p	-0.10	-0.31	< 0.1
Slc19a2	ENSMUST00000044021.6	solute carrier family 19 (thiamine transporter), member 2 	2074	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
B4galt2	ENSMUST00000030266.6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2 	433	1	0	1	0	2	mmu-miR-146b-3p	-0.10	-0.14	< 0.1
Chst3	ENSMUST00000135158.3	carbohydrate (chondroitin 6/keratan) sulfotransferase 3 	10	2	0	2	0	1	mmu-miR-146b-3p	-0.10	-0.13	< 0.1
Chrna4	ENSMUST00000067120.8	cholinergic receptor, nicotinic, alpha polypeptide 4 	24	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.12	< 0.1
Chst8	ENSMUST00000078686.6	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8 	29	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Bcl6b	ENSMUST00000000326.6	B cell CLL/lymphoma 6, member B 	91	1	0	1	0	1	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Srebf2	ENSMUST00000023100.6	sterol regulatory element binding factor 2 	1088	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Pgs1	ENSMUST00000132676.2	phosphatidylglycerophosphate synthase 1 	3656	1	0	1	0	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Il33	ENSMUST00000120388.3	interleukin 33 	1905	1	0	1	0	2	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
Map6d1	ENSMUST00000040880.7	MAP6 domain containing 1 	7	1	0	0	1	0	mmu-miR-146b-3p	-0.10	-0.10	< 0.1
